"Description","Price"
"Compare
HP 505B (XZ832UT#ABA) Desktop PC Athlon II X3 450(3.2GHz) 2GB DDR3 500GB HDD Capacity NVIDIA GeForce 6150 SE Windows 7 Professional 32-bit
 Athlon II X3 450(3.2GHz)...
 2GB DDR3 500GB HDD Capac...
 NVIDIA GeForce 6150 SE
was: $499.99
now:
$399.99
Free Shipping","$399.99"
"Compare
ThinkCentre M58P (6137X04) Desktop PC Core 2 Duo E7500(2.93GHz) 4GB 160GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-Bit
 Core 2 Duo E7500(2.93GHz...
 4GB 160GB HDD Capacity
 Intel GMA 4500
was: $429.99
now:
$399.99
$22.61 Shipping","$399.99"
"  (2)
Compare
Windows 7 Professional OS loaded
ASUS Eee Box EB1012P-B007G Nettop Intel Atom D510(1.66GHz) 2GB DDR2 250GB HDD Capacity Next-generation NVIDIA ION graphics Windows 7 Professional 64-bit
 Intel Atom D510(1.66GHz)...
 2GB DDR2 250GB HDD Capac...
 Next-generation NVIDIA I...
was: $449.99
now:
$409.99
Free Shipping","$409.99"
"Compare
HP 505B (VS884UT#ABA) Desktop PC Athlon II X2 255(3.1GHz) 2GB DDR3 250GB HDD Capacity NVIDIA GeForce 6150 SE Windows 7 Professional 32-bit
 Athlon II X2 255(3.1GHz)...
 2GB DDR3 250GB HDD Capac...
 NVIDIA GeForce 6150 SE
was: $499.99
now:
$409.99
$9.99 Shipping","$409.99"
"Compare
HP 505B (VS882UT#ABA) Desktop PC Athlon II X2 220(2.80GHz) 1GB DDR3 160GB HDD Capacity NVIDIA GeForce 6150 SE Windows 7 Professional 32-bit
 Athlon II X2 220(2.80GHz...
 1GB DDR3 160GB HDD Capac...
 NVIDIA GeForce 6150 SE
was: $449.99
now:
$419.99
$24.99 Shipping","$419.99"
"  (3)
Compare
HP 505B (VS885UT#ABA) Desktop PC Athlon II X3 440(3.0GHz) 4GB DDR3 320GB HDD Capacity NVIDIA GeForce 6150 SE Windows 7 Professional 64-bit
 Athlon II X3 440(3.0GHz)...
 4GB DDR3 320GB HDD Capac...
 NVIDIA GeForce 6150 SE
was: $499.99
now:
$424.99
$6.99 Shipping","$424.99"
"Compare
HP Pavilion Slimline s5-1020 (QN650AA#ABA) Desktop PC Pentium E6800(3.33GHz) 4GB DDR3 1TB HDD Capacity Intel GMA X4500 Windows 7 Home Premium 64-bit
 Pentium E6800(3.33GHz)
 4GB DDR3 1TB HDD Capacit...
 Intel GMA X4500
was: $499.99
now:
$429.99
Free Shipping","$429.99"
"Compare
ThinkCentre M58P (6137X03) Desktop PC Core 2 Duo E8400(3.00GHz) 3GB 250GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-Bit
 Core 2 Duo E8400(3.00GHz...
 3GB 250GB HDD Capacity
 Intel GMA 4500
now:
$429.99
$14.99 Shipping","$429.99"
"  (2)
Compare
Acer Aspire AX1920-UR20P (PT.SG8P2.001) Desktop PC Pentium E6700(3.20GHz) 4GB DDR3 1TB HDD Capacity Intel GMA X4500HD Windows 7 Home Premium 64-bit
 Pentium E6700(3.20GHz)
 4GB DDR3 1TB HDD Capacit...
 Intel GMA X4500HD
now:
$429.99
$9.99 Shipping","$429.99"
"  (4)
Compare
Acer Veriton VN282G-UD525W (PS.VBH03.006) Nettop Intel Atom D525(1.80GHz) 2GB DDR3 320GB HDD Capacity NVIDIA ION 2 graphics Windows 7 Professional 32-bit
 Intel Atom D525(1.80GHz)...
 2GB DDR3 320GB HDD Capac...
 NVIDIA ION 2 graphics
was: $449.99
now:
$434.99
$24.99 Shipping","$434.99"
